/mnt/work/nucmer_AurPul/Oe6.scaffolds.fa /mnt/work/nucmer_AurPul/GCA_001678115.1_ASM167811v1_genomic.fna
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
11569	14820	1	3268	3252	3268	96.21	14820	11850	21.94	27.58	Oe6_s00957	LVWM01000475.1
1	5508	5544	35	5508	5510	99.93	5508	5695	100.00	96.75	Oe6_s01156	LVWM01000672.1
1	3356	3356	1	3356	3356	100.00	4365	5134	76.88	65.37	Oe6_s01218	LVWM01000701.1
1	1329	3768	2440	1329	1329	99.92	3343	3949	39.75	33.65	Oe6_s01299	LVWM01000789.1
1193	2105	2439	1527	913	913	100.00	3343	3949	27.31	23.12	Oe6_s01299	LVWM01000789.1
2014	2705	1525	834	692	692	99.71	3343	3949	20.70	17.52	Oe6_s01299	LVWM01000789.1
2621	3343	833	111	723	723	100.00	3343	3949	21.63	18.31	Oe6_s01299	LVWM01000789.1
1	1131	1315	185	1131	1131	100.00	1131	1363	100.00	82.98	Oe6_s01603	LVWM01001133.1
1	1125	1682	2806	1125	1125	100.00	1125	4759	100.00	23.64	Oe6_s01606	LVWM01000723.1
89	1011	1184	262	923	923	100.00	1011	1184	91.30	77.96	Oe6_s01644	LVWM01001213.1
1	772	9592	8821	772	772	100.00	772	16568	100.00	4.66	Oe6_s01757	LVWM01000385.1
1	702	3800	3099	702	702	100.00	702	4291	100.00	16.36	Oe6_s01796	LVWM01000761.1
1	597	3585	4181	597	597	100.00	597	8297	100.00	7.20	Oe6_s01852	LVWM01000580.1
28163	29179	1	1017	1017	1017	100.00	36207	1017	2.81	100.00	Oe6_s02715	LVWM01001335.1
1	1475	13224	11750	1475	1475	99.93	3249	16568	45.40	8.90	Oe6_s03228	LVWM01000385.1
1371	3249	11749	9871	1879	1879	100.00	3249	16568	57.83	11.34	Oe6_s03228	LVWM01000385.1
1	563	78	640	563	563	99.82	3234	2262	17.41	24.89	Oe6_s03230	LVWM01000956.1
463	2082	641	2262	1620	1622	99.69	3234	2262	50.09	71.71	Oe6_s03230	LVWM01000956.1
1	608	119	726	608	608	100.00	1878	2569	32.37	23.67	Oe6_s03376	LVWM01000910.1
565	1683	728	1846	1119	1119	99.91	1878	2569	59.58	43.56	Oe6_s03376	LVWM01000910.1
1	1486	3739	5224	1486	1486	100.00	1486	9688	100.00	15.34	Oe6_s03435	LVWM01000536.1
1	1017	16042	15026	1017	1017	100.00	1017	45057	100.00	2.26	Oe6_s03563	LVWM01000057.1
1	1017	9560	8562	1017	999	88.87	1017	32054	100.00	3.12	Oe6_s03563	LVWM01000184.1
1	981	1003	23	981	981	100.00	981	4368	100.00	22.46	Oe6_s03584	LVWM01000758.1
286	945	1	660	660	660	100.00	945	1246	69.84	52.97	Oe6_s03596	LVWM01001182.1
1	928	30	957	928	928	100.00	928	7281	100.00	12.75	Oe6_s03605	LVWM01000607.1
1	836	2429	1594	836	836	100.00	836	16568	100.00	5.05	Oe6_s03646	LVWM01000385.1
1	611	2882	3492	611	611	100.00	611	4238	100.00	14.42	Oe6_s03764	LVWM01000766.1
1	556	663	108	556	556	100.00	556	1349	100.00	41.22	Oe6_s03799	LVWM01001136.1
1	5750	7985	2236	5750	5750	99.98	5750	24562	100.00	23.41	Oe6_s04984	LVWM01000271.1
709	5748	17292	22343	5040	5052	94.68	5750	32720	87.65	15.44	Oe6_s04984	LVWM01000179.1
1	2274	3681	1408	2274	2274	100.00	2274	9688	100.00	23.47	Oe6_s05234	LVWM01000536.1
8	2000	1	1993	1993	1993	100.00	2000	2649	99.65	75.24	Oe6_s05275	LVWM01000898.1
1	553	1353	1905	553	553	100.00	1586	3136	34.87	17.63	Oe6_s05341	LVWM01000850.1
446	1586	1903	3043	1141	1141	99.82	1586	3136	71.94	36.38	Oe6_s05341	LVWM01000850.1
1	1351	2423	1073	1351	1351	100.00	1351	7281	100.00	18.56	Oe6_s05383	LVWM01000607.1
59	1008	1	950	950	950	100.00	1008	12908	94.25	7.36	Oe6_s05486	LVWM01000446.1
1	877	877	1	877	877	99.89	984	4177	89.13	21.00	Oe6_s05504	LVWM01000769.1
1	964	991	28	964	964	100.00	964	1028	100.00	93.77	Oe6_s05511	LVWM01001330.1
25730	27072	1343	1	1343	1343	100.00	33868	1343	3.97	100.00	Oe6_s06580	LVWM01001139.1
2153	6668	1	4516	4516	4516	100.00	15962	4516	28.29	100.00	Oe6_s06709	LVWM01000742.1
1	3537	54164	50626	3537	3539	99.94	3537	70703	100.00	5.01	Oe6_s07049	LVWM01000015.1
1	3537	7834	4298	3537	3537	97.09	3537	12780	100.00	27.68	Oe6_s07049	LVWM01000450.1
1	3537	8450	4914	3537	3537	100.00	3537	12494	100.00	28.31	Oe6_s07049	LVWM01000460.1
1	3315	4374	1060	3315	3315	100.00	3537	8390	93.72	39.51	Oe6_s07049	LVWM01000575.1
1	2030	2030	1	2030	2030	95.17	3537	6976	57.39	29.10	Oe6_s07049	LVWM01000619.1
1	3537	815	4353	3537	3539	92.14	3537	5458	100.00	64.84	Oe6_s07049	LVWM01000687.1
1	2927	2927	1	2927	2927	100.00	3537	4624	82.75	63.30	Oe6_s07049	LVWM01000734.1
431	3531	12360	9260	3101	3101	86.29	3537	12787	87.67	24.25	Oe6_s07049	LVWM01000449.1
887	2195	423	1732	1309	1310	88.47	3537	20085	37.01	6.52	Oe6_s07049	LVWM01000331.1
2196	3537	1996	3337	1342	1342	91.43	3537	20085	37.94	6.68	Oe6_s07049	LVWM01000331.1
2508	3534	1	1027	1027	1027	91.04	3537	1264	29.04	81.25	Oe6_s07049	LVWM01001175.1
1	720	10672	9953	720	720	99.86	2456	11504	29.32	6.26	Oe6_s07137	LVWM01000482.1
601	2321	9950	8230	1721	1721	100.00	2456	11504	70.07	14.96	Oe6_s07137	LVWM01000482.1
1	1750	28939	27182	1750	1758	93.65	1750	43009	100.00	4.09	Oe6_s07236	LVWM01000071.1
1	1551	8758	10308	1551	1551	100.00	1551	13879	100.00	11.18	Oe6_s07268	LVWM01000430.1
310	1551	26299	27538	1242	1240	94.28	1551	40983	80.08	3.03	Oe6_s07268	LVWM01000087.1
724	1363	1	640	640	640	100.00	1363	16408	46.96	3.90	Oe6_s07302	LVWM01000392.1
1	833	1789	2621	833	833	100.00	1332	3632	62.54	22.94	Oe6_s07311	LVWM01000810.1
757	1332	2642	3217	576	576	100.00	1332	3632	43.24	15.86	Oe6_s07311	LVWM01000810.1
1	998	10750	11747	998	998	100.00	998	29683	100.00	3.36	Oe6_s07419	LVWM01000205.1
1	998	8981	9978	998	998	100.00	998	26014	100.00	3.84	Oe6_s07419	LVWM01000245.1
1	998	17617	16620	998	998	100.00	998	19013	100.00	5.25	Oe6_s07419	LVWM01000347.1
200338	201548	1211	1	1211	1211	99.92	215045	1211	0.56	100.00	Oe6_s08038	LVWM01001199.1
205271	206812	1542	1	1542	1542	100.00	215045	1542	0.72	100.00	Oe6_s08038	LVWM01001084.1
205330	206328	1129	126	999	1004	90.95	215045	1129	0.46	88.93	Oe6_s08038	LVWM01001235.1
149268	154336	28123	23053	5069	5071	98.82	154336	32914	3.28	15.41	Oe6_s08070	LVWM01000174.1
149307	151114	1919	104	1808	1816	95.00	154336	1919	1.17	94.63	Oe6_s08070	LVWM01001008.1
151336	154336	25630	22627	3001	3004	96.94	154336	25714	1.94	11.68	Oe6_s08070	LVWM01000254.1
1	1393	86	1478	1393	1393	100.00	6029	6302	23.10	22.10	Oe6_s08815	LVWM01000643.1
1241	6029	1479	6266	4789	4788	99.98	6029	6302	79.43	75.98	Oe6_s08815	LVWM01000643.1
1	5871	78	5949	5871	5872	99.98	5871	6034	100.00	97.32	Oe6_s08822	LVWM01000656.1
1	1171	2941	1771	1171	1171	100.00	2488	4291	47.07	27.29	Oe6_s09056	LVWM01000761.1
1069	1620	1772	1221	552	552	99.82	2488	4291	22.19	12.86	Oe6_s09056	LVWM01000761.1
1481	2264	1221	438	784	784	99.74	2488	4291	31.51	18.27	Oe6_s09056	LVWM01000761.1
36	1717	1	1682	1682	1682	99.94	1717	1730	97.96	97.23	Oe6_s09163	LVWM01001048.1
1	1012	379	1390	1012	1012	100.00	1012	3136	100.00	32.27	Oe6_s09328	LVWM01000850.1
1	754	1027	274	754	754	100.00	754	1086	100.00	69.43	Oe6_s09451	LVWM01001271.1
4	3773	1	3770	3770	3770	99.97	63418	3770	5.94	100.00	Oe6_s10261	LVWM01000800.1
3960	10581	1	6624	6622	6624	93.78	63418	17984	10.44	36.83	Oe6_s10261	LVWM01000360.1
4738	10581	21150	15307	5844	5844	92.16	63418	23996	9.22	24.35	Oe6_s10261	LVWM01000277.1
5250	12819	1	7570	7570	7570	99.99	63418	7570	11.94	100.00	Oe6_s10261	LVWM01000597.1
5374	8647	9154	12426	3274	3273	85.29	63418	12494	5.16	26.20	Oe6_s10261	LVWM01000460.1
5697	8746	18967	15918	3050	3050	87.26	63418	18999	4.81	16.05	Oe6_s10261	LVWM01000348.1
8660	10044	428	1812	1385	1385	88.25	63418	2683	2.18	51.62	Oe6_s10261	LVWM01000894.1
8741	10581	9117	7256	1841	1862	86.74	63418	18999	2.90	9.80	Oe6_s10261	LVWM01000348.1
22499	24337	1839	1	1839	1839	100.00	63418	1839	2.90	100.00	Oe6_s10261	LVWM01001021.1
24945	34910	12	9977	9966	9966	100.00	63418	9977	15.71	99.89	Oe6_s10261	LVWM01000526.1
24946	25616	4637	3956	671	682	89.10	63418	4843	1.06	14.08	Oe6_s10261	LVWM01000718.1
24946	25598	1422	765	653	658	83.16	63418	1489	1.03	44.19	Oe6_s10261	LVWM01001101.1
28127	29867	1	1741	1741	1741	93.80	63418	1746	2.75	99.71	Oe6_s10261	LVWM01001041.1
35296	35844	1	549	549	549	100.00	63418	17970	0.87	3.06	Oe6_s10261	LVWM01000361.1
35780	42159	681	7061	6380	6381	99.33	63418	17970	10.06	35.51	Oe6_s10261	LVWM01000361.1
44397	53066	9309	17942	8670	8634	98.33	63418	17970	13.67	48.05	Oe6_s10261	LVWM01000361.1
47908	53055	12808	17962	5148	5155	98.17	63418	17970	8.12	28.69	Oe6_s10261	LVWM01000361.1
52374	52933	29367	28809	560	559	90.94	63418	58950	0.88	0.95	Oe6_s10261	LVWM01000028.1
52374	52932	27784	28341	559	558	84.88	63418	34291	0.88	1.63	Oe6_s10261	LVWM01000158.1
52374	52933	12022	12579	560	558	90.57	63418	17415	0.88	3.20	Oe6_s10261	LVWM01000371.1
60191	63418	1	3296	3228	3296	95.08	63418	7145	5.09	46.13	Oe6_s10261	LVWM01000612.1
60532	62719	5667	7867	2188	2201	88.69	63418	17970	3.45	12.25	Oe6_s10261	LVWM01000361.1
61225	62804	2778	1199	1580	1580	83.10	63418	4843	2.49	32.62	Oe6_s10261	LVWM01000718.1
22111	23315	1	1205	1205	1205	100.00	38824	1205	3.10	100.00	Oe6_s10375	LVWM01001203.1
25922	27510	1589	1	1589	1589	100.00	34289	1591	4.63	99.87	Oe6_s10420	LVWM01001075.1
1	1029	1	1029	1029	1029	100.00	4336	1029	23.73	100.00	Oe6_s10828	LVWM01001328.1
1	1269	902	2170	1269	1269	99.92	3113	4177	40.76	30.38	Oe6_s10924	LVWM01000769.1
1156	3113	2172	4129	1958	1958	99.95	3113	4177	62.90	46.88	Oe6_s10924	LVWM01000769.1
1	2795	2865	70	2795	2796	99.93	2795	2868	100.00	97.49	Oe6_s10948	LVWM01000875.1
1	2665	1470	4134	2665	2665	100.00	2665	4240	100.00	62.85	Oe6_s10961	LVWM01000765.1
158	1188	6	1036	1031	1031	100.00	2163	2177	47.67	47.36	Oe6_s11011	LVWM01000968.1
1230	2163	1147	2078	934	932	99.79	2163	2177	43.18	42.81	Oe6_s11011	LVWM01000968.1
1	1399	365	1763	1399	1399	100.00	1399	1787	100.00	78.29	Oe6_s11137	LVWM01001037.1
1	1277	1286	10	1277	1277	100.00	1277	1344	100.00	95.01	Oe6_s11170	LVWM01001137.1
1	1153	1217	65	1153	1153	100.00	1153	1325	100.00	87.02	Oe6_s11203	LVWM01001149.1
1	1046	41	1086	1046	1046	100.00	1046	1095	100.00	95.53	Oe6_s11237	LVWM01001262.1
1	985	1252	2236	985	985	100.00	985	2510	100.00	39.24	Oe6_s11267	LVWM01000918.1
1	898	52786	51889	898	898	100.00	898	52819	100.00	1.70	Oe6_s11303	LVWM01000037.1
1	682	4152	4833	682	682	100.00	682	8297	100.00	8.22	Oe6_s11411	LVWM01000580.1
1	534	179	712	534	534	100.00	534	1311	100.00	40.73	Oe6_s11498	LVWM01001152.1
