/mnt/work/nucmer_AurPul/Oe6.scaffolds.fa /mnt/work/nucmer_AurPul/GCA_000721785.1_Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0_genomic.fna
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
17262	18881	2584	965	1620	1620	100.00	1570811	1166847	0.10	0.14	Oe6_s09611	KL584983.1
371303	372088	358775	357990	786	786	100.00	668144	440480	0.12	0.18	Oe6_s09679	KL584992.1
97904	98552	773513	772865	649	649	100.00	437849	1193979	0.15	0.05	Oe6_s09765	KL584982.1
124307	125116	11311	12120	810	810	100.00	405787	350255	0.20	0.23	Oe6_s09784	KL584998.1
166725	169344	580317	582936	2620	2620	100.00	291326	839173	0.90	0.31	Oe6_s09871	KL584985.1
48838	49541	1025838	1025136	704	703	99.72	280852	1390977	0.25	0.05	Oe6_s09882	KL584978.1
81147	83852	585312	588017	2706	2706	100.00	237397	839173	1.14	0.32	Oe6_s09933	KL584985.1
138911	139933	2712	1690	1023	1023	100.00	197663	47067	0.52	2.17	Oe6_s09983	KL585027.1
120218	121335	2774	3891	1118	1118	100.00	165977	41489	0.67	2.69	Oe6_s10031	KL585030.1
6	4742	9728	4992	4737	4737	91.26	63418	839173	7.47	0.56	Oe6_s10261	KL584985.1
5151	10581	21568	16118	5431	5451	89.08	63418	235912	8.56	2.31	Oe6_s10261	KL585008.1
5190	10581	696169	701581	5392	5413	87.35	63418	1047508	8.50	0.52	Oe6_s10261	KL584984.1
10623	12735	5008	2894	2113	2115	87.14	63418	839173	3.33	0.25	Oe6_s10261	KL584985.1
23558	24711	287855	289007	1154	1153	83.20	63418	291689	1.82	0.40	Oe6_s10261	KL585003.1
24946	25598	7507	8149	653	643	88.30	63418	8726	1.03	7.37	Oe6_s10261	KL585039.1
24952	25599	11	634	648	624	86.56	63418	1151	1.02	54.21	Oe6_s10261	KL585149.1
25622	26554	6689	5759	933	931	91.64	63418	546779	1.47	0.17	Oe6_s10261	KL584989.1
25622	26609	3095	2108	988	988	88.89	63418	101594	1.56	0.97	Oe6_s10261	KL585017.1
25623	27486	433659	435522	1864	1864	92.07	63418	440480	2.94	0.42	Oe6_s10261	KL584992.1
25623	26358	3391	4126	736	736	91.88	63418	10182	1.16	7.23	Oe6_s10261	KL585036.1
26110	34466	112489	120898	8357	8410	91.48	63418	120898	13.18	6.96	Oe6_s10261	KL585015.1
27092	30373	3	3290	3282	3288	87.53	63418	25054	5.18	13.12	Oe6_s10261	KL585034.1
27124	31521	5775	10182	4398	4408	91.99	63418	10182	6.93	43.29	Oe6_s10261	KL585036.1
27244	30212	2981	4	2969	2978	87.37	63418	164102	4.68	1.81	Oe6_s10261	KL585013.1
27965	32591	435525	440187	4627	4663	90.67	63418	440480	7.30	1.06	Oe6_s10261	KL584992.1
27965	29621	2105	449	1657	1657	88.05	63418	101594	2.61	1.63	Oe6_s10261	KL585017.1
27968	30784	3167	333	2817	2835	89.70	63418	546779	4.44	0.52	Oe6_s10261	KL584989.1
27968	30436	2469	1	2469	2469	90.28	63418	105882	3.89	2.33	Oe6_s10261	KL585016.1
31426	34228	1	2767	2803	2767	92.15	63418	2767	4.42	100.00	Oe6_s10261	KL585060.1
31467	34228	2791	1	2762	2791	88.30	63418	2791	4.36	100.00	Oe6_s10261	KL585059.1
32245	33651	3292	4694	1407	1403	87.56	63418	25054	2.22	5.60	Oe6_s10261	KL585034.1
32464	34783	1	2222	2320	2222	85.73	63418	2932	3.66	75.78	Oe6_s10261	KL585056.1
33773	34333	318761	319319	561	559	87.59	63418	319702	0.88	0.17	Oe6_s10261	KL585001.1
33775	34283	777899	777393	509	507	90.82	63418	1193979	0.80	0.04	Oe6_s10261	KL584982.1
33775	34340	289754	290318	566	565	86.82	63418	290329	0.89	0.19	Oe6_s10261	KL585004.1
35780	37110	43	1373	1331	1331	89.11	63418	1373	2.10	96.94	Oe6_s10261	KL585122.1
35846	37967	2137	1	2122	2137	85.69	63418	2885	3.35	74.07	Oe6_s10261	KL585058.1
35958	37106	1149	1	1149	1149	91.38	63418	1154	1.81	99.57	Oe6_s10261	KL585148.1
37878	38981	1117	1	1104	1117	90.17	63418	1119	1.74	99.82	Oe6_s10261	KL585154.1
37878	38981	3	1109	1104	1107	88.26	63418	1109	1.74	99.82	Oe6_s10261	KL585155.1
40676	42158	1	1528	1483	1528	91.97	63418	2141	2.34	71.37	Oe6_s10261	KL585071.1
40843	42154	165	1473	1312	1309	93.29	63418	2132	2.07	61.40	Oe6_s10261	KL585072.1
41462	42159	5011	4314	698	698	96.42	63418	546779	1.10	0.13	Oe6_s10261	KL584989.1
60484	62535	90	2141	2052	2052	86.01	63418	2141	3.24	95.84	Oe6_s10261	KL585071.1
61923	62797	4314	3440	875	875	88.11	63418	546779	1.38	0.16	Oe6_s10261	KL584989.1
4	899	885115	886010	896	896	99.33	4336	2687588	20.66	0.03	Oe6_s10828	KL584974.1
1	3113	79889	83008	3113	3120	96.70	3113	2117705	100.00	0.15	Oe6_s10924	KL584975.1
1	2795	1141801	1139008	2795	2794	97.28	2795	1166847	100.00	0.24	Oe6_s10948	KL584983.1
1	2665	236201	233537	2665	2665	99.21	2665	1166847	100.00	0.23	Oe6_s10961	KL584983.1
10	2163	1125264	1123114	2154	2151	91.78	2163	1166847	99.58	0.18	Oe6_s11011	KL584983.1
1	1399	83314	84711	1399	1398	97.64	1399	2117705	100.00	0.07	Oe6_s11137	KL584975.1
63	1277	1130996	1129777	1215	1220	96.15	1277	1166847	95.14	0.10	Oe6_s11170	KL584983.1
1	1153	1129514	1128363	1153	1152	94.54	1153	1166847	100.00	0.10	Oe6_s11203	KL584983.1
1	954	450346	449393	954	954	95.08	1046	546779	91.20	0.17	Oe6_s11237	KL584989.1
1	985	457665	456681	985	985	94.62	985	546779	100.00	0.18	Oe6_s11267	KL584989.1
1	648	1122779	1122132	648	648	98.46	898	1166847	72.16	0.06	Oe6_s11303	KL584983.1
1	735	603982	604715	735	734	94.83	735	2687588	100.00	0.03	Oe6_s11384	KL584974.1
1	682	488566	487885	682	682	98.09	682	1266703	100.00	0.05	Oe6_s11411	KL584980.1
11	533	105926	105399	523	528	95.64	534	183854	97.94	0.29	Oe6_s11498	KL585011.1
