"intersect_bp","f_orig_query","f_found_genome","name"
2000,3.26189777212382e-05,2.18959722359072e-06,"Cochliobolus lunatus m118 v2.0"
52000,0.000262103568352866,5.69295278133587e-05,"Cokeromyces recurvatus NRRL 2243 v1.0"
20000,2.27541640120142e-05,2.18959722359072e-05,"Colletotrichum caudatum CBS131602 v1.0"
10000,2.00344592699443e-05,1.09479861179536e-05,"Colletotrichum cereale CBS 129662 v1.0"
6000,4.07298794395569e-05,6.56879167077216e-06,"Colletotrichum fioriniae PJ7"
15000,2.10110518132538e-05,1.64219791769304e-05,"Colletotrichum graminicola M1.001"
12000,2.07331232376845e-05,1.31375833415443e-05,"Colletotrichum higginsianum IMI 349063"
5000,1.82485081844559e-05,5.4739930589768e-06,"Colletotrichum lupini CBS 109225 v1.0"
9000,2.04432087660479e-05,9.85318750615824e-06,"Colletotrichum phormii CBS102054 v1.0"
15000,1.96417347580138e-05,1.64219791769304e-05,"Colletotrichum somersetensis CBS 131599 v1.0"
17000,0.000109094082736952,1.86115764005211e-05,"Colletotrichum zoysiae MAFF235873 v1.0"
2000,2.39028587819103e-05,2.18959722359072e-06,"Coniochaeta ligniaria NRRL 30616 v1.0"
6000,4.22047775808222e-05,6.56879167077216e-06,"Conidiobolus thromboides FSU 785 v1.0"
3000,2.28503530379544e-05,3.28439583538608e-06,"Corynespora cassiicola CCP v1.0"
16000,2.72086632383751e-05,1.75167777887258e-05,"Corollospora maritima CBS 119819 v2.0"
2000,5.46164559381742e-05,2.18959722359072e-06,"Crepidotus variabilis CBS 506.95 v1.0"
55000,0.000385832240141986,6.02139236487448e-05,"Cronartium quercuum f. sp. fusiforme G11 v1.0"
11000,5.57745221982598e-05,1.2042784729749e-05,"Cryptodiaporthe populea CFL2025 v1.0"
56000,0.000632533295849879,6.13087222605402e-05,"Cunninghamella echinulata NRRL 1382 v1.0"
2000,3.43536363324058e-05,2.18959722359072e-06,"Delphinella strobiligena CBS 735.71 v1.0"
2000,1.01295570344709e-05,2.18959722359072e-06,"Dendrothele bispora CBS 962.96 v1.0"
10000,3.9122100074332e-05,1.09479861179536e-05,"Eurotium rubrum v1.0"
5000,2.47102720600954e-05,5.4739930589768e-06,"Fennellomyces sp. T-0311 v1.0"
6000,2.71186440677966e-05,6.56879167077216e-06,"Gautieria morchelliformis GMNE.BST v1.0"
17000,4.23298340670505e-05,1.86115764005211e-05,"Gilbertella persicaria var. persicaria CBS 190.32-T v1.0"
26000,2.30107229969166e-05,2.84647639066794e-05,"Rhizophagus irregularis DAOM 181602 v1.0"
19000,9.56022944550669e-05,2.08011736241118e-05,"Gongronella butleri v1.0"
13000,0.000318032439308809,1.42323819533397e-05,"Hanseniaspora valbyensis NRRL Y-1626 v1.1"
3000,5.91610956634917e-05,3.28439583538608e-06,"Heterogastridium pycnidioideum ATCC MYA-4631 v1.0"
1000,2.11077338736913e-05,1.09479861179536e-06,"Hymenoscyphus varicosporoides PMI_453 v1.0"
38000,3.03209472263914e-05,4.16023472482237e-05,"Kalaharituber pfeilii F3 v1.0"
61000,7.97087971942503e-05,6.6782715319517e-05,"Lobosporangium transversale NRRL 3116 v1.0"
37000,0.000403904409289801,4.05075486364283e-05,"Lodderomyces elongisporus NRRL YB-4239"
4000,1.93937513333204e-05,4.37919444718144e-06,"Lycoperdon perlatum FP-102459-T v1.0"
7000,2.15317701268221e-05,7.66359028256752e-06,"Macrophomina phaseolina MS6"
9000,2.6906312220847e-05,9.85318750615824e-06,"Magnaporthe grisea v1.0"
12000,2.910784456411e-05,1.31375833415443e-05,"Magnaporthiopsis poae ATCC 64411"
23000,4.64468183929401e-05,2.51803680712933e-05,"Marssonina brunnea f. sp. multigermtubi MB_m1"
6000,2.91706776348415e-05,6.56879167077216e-06,"Massarina eburnea CBS 473.64 v1.0"
22000,1.36093305570299e-05,2.40855694594979e-05,"Melampsora allii-populina 12AY07 v1.0"
7000,1.37228801580876e-05,7.66359028256752e-06,"Meliniomyces bicolor E v2.0"
12000,5.37721137817928e-05,1.31375833415443e-05,"Melanotaenium endogenum CBS481.91 v1.0"
29000,0.000196705697218167,3.17491597420654e-05,"Melampsora lini CH5"
4000,3.57181126549273e-05,4.37919444718144e-06,"Melanospora tiffanyae F1KG0001 v1.0"
6000,5.09683995922528e-05,6.56879167077216e-06,"Monacrosporium haptotylum CBS 200.50"
9000,2.17362952658349e-05,9.85318750615824e-06,"Morchella importuna SCYDJ1-A1 v1.0"
23000,2.79025642456542e-05,2.51803680712933e-05,"Mortierella multidivaricata RSA 2152 T v1.0"
3000,2.39963525544117e-05,3.28439583538608e-06,"Naiadella fluitans ATCC 64713 v1.0"
272000,0.00201843304293623,0.000297785222408338,"Neocallimastix californiae v1.0"
14000,3.83273925874823e-05,1.5327180565135e-05,"Ophiostoma piliferum"
183000,0.00056937631394534,0.000200348145958551,"Orpinomyces sp."
25000,0.000249376558603491,2.7369965294884e-05,"Pachysolen tannophilus NRRL Y-2460 v1.2"
24000,0.000104862106330176,2.62751666830886e-05,"Paracoccidioides brasiliensis Pb18"
2000,2.64319509422991e-05,2.18959722359072e-06,"Paraconiothyrium sporulosum AP3s5-JAC2a v1.0"
5000,3.20595024365222e-05,5.4739930589768e-06,"Penicillium raistrickii ATCC 10490 v1.0"
6000,2.98089247920827e-05,6.56879167077216e-06,"Penicillium thymicola DAOMC 180753 v1.0"
28000,2.18388294387421e-05,3.06543611302701e-05,"Phascolomyces articulosus v1.0"
4000,3.25298461338278e-05,4.37919444718144e-06,"Phyllosticta citribraziliensis CBS 100098 v1.0"
6000,3.4717400361061e-05,6.56879167077216e-06,"Phyllosticta citrichinaensis CBS 130529 v1.0"
3000,2.33989283290825e-05,3.28439583538608e-06,"Pholiota conissans CIRM-BRFM 674 v1.0"
13000,3.31005262983681e-05,1.42323819533397e-05,"Phyllosticta citriasiana v1.0"
52000,0.000342711156805932,5.69295278133587e-05,"Pilaira anomala RSA1997 v1.0"
13000,8.39301700984781e-05,1.42323819533397e-05,"Coniella sp v1.0"
79000,0.000175530981218185,8.64890903318335e-05,"Piromyces sp. E2 v1.0"
97000,0.000343815898047126,0.00010619546534415,"Piromyces finnis v3.0"
20000,2.58698745311085e-05,2.18959722359072e-05,"Pleomassaria siparia v1.0"
4000,3.69849840964568e-05,4.37919444718144e-06,"Polychaeton citri v1.0"
15000,3.02521516842885e-05,1.64219791769304e-05,"Puccinia graminis f. sp. tritici v2.0"
12000,1.44657090367284e-05,1.31375833415443e-05,"Puccinia striiformis f. sp. tritici PST-78 v1.0"
29000,0.000102782845543079,3.17491597420654e-05,"Rhizopus microsporus var. chinensis CCTCC M201021"
2000,2.53716953366824e-05,2.18959722359072e-06,"Rhizoclosmatium globosum JEL800 v1.0"
21000,4.30830209814312e-05,2.29907708477026e-05,"Rhizopus microsporus ATCC11559 v1.0"
9000,9.88288777980926e-05,9.85318750615824e-06,"Rhodotorula graminis strain WP1 v1.1"
3000,1.54945071971986e-05,3.28439583538608e-06,"Rhodocollybia butyracea AH 40177 v1.0"
6000,2.52786976414975e-05,6.56879167077216e-06,"Rhytidhysteron rufulum"
2000,2.00573640612151e-05,2.18959722359072e-06,"Rickenella fibula HBK330-10 v1.0"
3000,3.37792190244562e-05,3.28439583538608e-06,"Saccharata proteae CBS 121410 v1.0"
2000,2.97053231939163e-05,2.18959722359072e-06,"Sebacina vermifera MAFF 305830 v1.0"
11000,2.89184499710816e-05,1.2042784729749e-05,"Setosphaeria turcica NY001 v1.0"
10000,2.56449710211827e-05,1.09479861179536e-05,"Sodiomyces alkalinus v1.0"
25000,0.000242814216772392,2.7369965294884e-05,"Spinellus fusiger NRRL 22323 v1.0"
3000,4.74293302978562e-05,3.28439583538608e-06,"Sporidiobolus pararoseus Phaff 68-350 v1.0"
9000,7.24112961622013e-05,9.85318750615824e-06,"Sympodiomyces attinorum NRRL Y-27639 v1.0"
8000,8.40866092074837e-05,8.75838889436288e-06,"Syncephalis fuscata S228 v1.0"
11000,5.77934462231983e-05,1.2042784729749e-05,"Terfezia boudieri ATCC MYA-4762 v1.1"
37000,0.000127105179536066,4.05075486364283e-05,"Thamnidium elegans v1.0"
6000,7.05915572497529e-05,6.56879167077216e-06,"Thermoascus aurantiacus v1.0"
6000,3.03905181583346e-05,6.56879167077216e-06,"Thozetella sp. PMI_491 v2.0"
19000,8.27643285743844e-05,2.08011736241118e-05,"Tilletiopsis albescens v1.0"
8000,3.13253766876547e-05,8.75838889436288e-06,"Torpedospora radiata JK5252C v1.0"
5000,2.65055131467345e-05,5.4739930589768e-06,"Trametes pubescens FBCC735"
6000,4.48752468138575e-05,6.56879167077216e-06,"Trematosphaeria pertusa CBS 122368 v1.0"
16000,2.72524118384477e-05,1.75167777887258e-05,"Trichoderma asperellum CBS 433.97 v1.0"
5000,3.07191349491598e-05,5.4739930589768e-06,"Trichoderma reesei RUT C-30 v1.0"
7000,5.43301097468217e-05,7.66359028256752e-06,"Tritirachium sp. CBS 265.96 v1.0"
18000,0.000112028081705814,1.97063750123165e-05,"Violaceomyces palustris SA 807 v1.0"
1000,2.99688324142891e-05,1.09479861179536e-06,"Volvariella volvacea V23"
1000,2.34208492399934e-05,1.09479861179536e-06,"Xylaria hypoxylon OSC100004 v1.0"
17000,1.61312437995532e-05,1.86115764005211e-05,"Zopfia rhizophila v1.0"
13000,0.000117530910629496,1.42323819533397e-05,"Zychaea mexicana RSA 1403 v1.0"
26000,4.56235600063873e-05,2.84647639066794e-05,"Mucor heterogamus NRRL 1489 v1.0"
